"","Date","PM2.5.AQI.Value","Site.Name","Site.ID","Source","X20.year.High..2000.2019.","X20.year.Low..2000.2019.","X5.year.Average..2015.2019.","Date.of.20.year.High","Date.of.20.year.Low"
"115","04/24/2016",60,"Donovan","06-073-1014","AQS",78,22,"56.2","04/24/2019","04/24/2005"
"116","04/25/2016",56,"Camp Pendleton","06-073-1008","AQS",79,26,"56","04/25/2019","04/25/2003"
"117","04/26/2016",56,"San Diego - Beardsley Street","06-073-1010","AQS",89,23,"57.6","04/26/2014","04/26/2012"
"118","04/27/2016",61,"Donovan","06-073-1014","AQS",82,27,"57.6","04/27/2001","04/27/2006"
"119","04/28/2016",52,"Donovan","06-073-1014","AQS",72,26,"58.8","04/28/2013","04/28/2002"
"120","04/29/2016",47,"Donovan","06-073-1014","AQS",99,26,"55.2","04/29/2014","04/29/2002"
"121","04/30/2016",40,"San Diego - Beardsley Street","06-073-1010","AQS",79,24,"52.4","04/30/2001","04/30/2002"
"122","05/01/2016",55,"Donovan","06-073-1014","AQS",96,27,"51.8","05/01/2001","05/01/2002"
"123","05/02/2016",58,"Donovan","06-073-1014","AQS",73,29,"60.4","05/02/2017","05/02/2005"
"124","05/03/2016",63,"Donovan","06-073-1014","AQS",71,23,"60","05/03/2019","05/03/2003"
"125","05/04/2016",57,"Donovan","06-073-1014","AQS",83,26,"61","05/04/2019","05/04/2007"
"126","05/05/2016",36,"Alpine","06-073-1006","AQS",82,19,"54.8","05/05/2019","05/05/2008"
"127","05/06/2016",29,"Donovan","06-073-1014","AQS",81,25,"47.4","05/06/2011","05/06/2005"
"128","05/07/2016",30,"Donovan","06-073-1014","AQS",77,21,"37.4","05/07/2001","05/07/2008"
"129","05/08/2016",25,"Alpine","06-073-1006","AQS",80,23,"37","05/08/2012","05/08/2000"
"130","05/09/2016",36,"Donovan","06-073-1014","AQS",77,21,"43.2","05/09/2012","05/09/2005"
"131","05/10/2016",31,"Alpine","06-073-1006","AQS",80,28,"42.4","05/10/2001","05/10/2005"
"132","05/11/2016",45,"Donovan","06-073-1014","AQS",91,20,"45.4","05/11/2001","05/11/2019"
"133","05/12/2016",57,"Donovan","06-073-1014","AQS",92,34,"49.4","05/12/2001","05/12/2019"
"134","05/13/2016",56,"Donovan","06-073-1014","AQS",101,31,"47.2","05/13/2014","05/13/2018"
"135","05/14/2016",50,"Alpine","06-073-1006","AQS",87,33,"47","05/14/2014","05/14/2018"
"136","05/15/2016",33,"Alpine","06-073-1006","AQS",75,25,"40.8","05/15/2009","05/15/2015"
"137","05/16/2016",35,"Donovan","06-073-1014","AQS",84,20,"43.6","05/16/2014","05/16/2000"
"138","05/17/2016",38,"Alpine","06-073-1006","AQS",86,32,"38.4","05/17/2006","05/17/2018"
"139","05/18/2016",51,"Donovan","06-073-1014","AQS",71,30,"40","05/18/2012","05/18/2017"
"140","05/19/2016",58,"Donovan","06-073-1014","AQS",74,32,"46","05/19/2012","05/19/2015"
"141","05/20/2016",45,"Donovan","06-073-1014","AQS",159,21,"42.6","05/20/2006","05/20/2002"
"142","05/21/2016",27,"Donovan","06-073-1014","AQS",74,25,"34.4","05/21/2012","05/21/2002"
"143","05/22/2016",33,"Donovan","06-073-1014","AQS",81,20,"36.4","05/22/2013","05/22/2006"
"144","05/23/2016",36,"Donovan","06-073-1014","AQS",77,21,"36.8","05/23/2001","05/23/2015"
