"Date","PM2.5 AQI Value","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"07/20/2018","53","Pala Airpad","06-073-1201","AQS","70","25","48","07/20/2000","07/20/2015"
"07/21/2018","39","Pala Airpad","06-073-1201","AQS","75","10","42.6","07/21/2000","07/21/2015"
"07/22/2018","28","Pala Airpad","06-073-1201","AQS","74","18","46.6","07/22/2016","07/22/2015"
"07/23/2018","40","Donovan","06-073-1014","AQS","68","25","49.4","07/23/2016","07/23/2015"
"07/24/2018","59","El Cajon - Lexington Elementary School","06-073-1022","AQS","68","38","53","07/24/2006","07/24/2013"
"07/25/2018","65","El Cajon - Lexington Elementary School","06-073-1022","AQS","79","30","54.4","07/25/2008","07/25/2013"
"07/26/2018","70","Pala Airpad","06-073-1201","AQS","73","30","54.4","07/26/2008","07/26/2017"
"07/27/2018","71","Pala Airpad","06-073-1201","AQS","71","40","54","07/27/2018","07/27/2015"
"07/28/2018","64","Pala Airpad","06-073-1201","AQS","71","28","56.4","07/28/2008","07/28/2006"
"07/29/2018","62","Pala Airpad","06-073-1201","AQS","69","19","60.8","07/29/2019","07/29/2006"
"07/30/2018","57","Pala Airpad","06-073-1201","AQS","77","17","60.8","07/30/2019","07/30/2006"
"07/31/2018","48","Pala Airpad","06-073-1201","AQS","76","21","58.6","07/31/2019","07/31/2006"
"08/01/2018","43","Pala Airpad","06-073-1201","AQS","78","32","55.8","08/01/2019","08/01/2006"
"08/02/2018","51","Donovan","06-073-1014","AQS","72","35","54","08/02/2019","08/02/2006"
"08/03/2018","57","Donovan","06-073-1014","AQS","69","33","55.4","08/03/2019","08/03/2003"
"08/04/2018","52","Alpine","06-073-1006","AQS","62","32","55.4","08/04/2002","08/04/2006"
"08/05/2018","53","Donovan","06-073-1014","AQS","65","34","56.6","08/05/2008","08/05/2014"
"08/06/2018","66","Donovan","06-073-1014","AQS","66","35","59.4","08/06/2018","08/06/2007"
"08/07/2018","60","Donovan","06-073-1014","AQS","75","34","58.4","08/07/2019","08/07/2009"
"08/08/2018","66","Pala Airpad","06-073-1201","AQS","71","36","62","08/08/2019","08/08/2013"
"08/09/2018","59","Donovan","06-073-1014","AQS","73","44","62","08/09/2002","08/09/2010"
"08/10/2018","73","Pala Airpad","06-073-1201","AQS","73","46","61","08/10/2018","08/10/2008"
"08/11/2018","53","Pala Airpad","06-073-1201","AQS","71","40","54.6","08/11/2002","08/11/2015"
"08/12/2018","46","Pala Airpad","06-073-1201","AQS","76","40","51.6","08/12/2002","08/12/2015"
"08/13/2018","41","Pala Airpad","06-073-1201","AQS","79","41","53.2","08/13/2002","08/13/2018"
"08/14/2018","52","Pala Airpad","06-073-1201","AQS","82","32","58.4","08/14/2002","08/14/2014"
"08/15/2018","48","Pala Airpad","06-073-1201","AQS","82","30","54.8","08/15/2002","08/15/2014"
"08/16/2018","51","Pala Airpad","06-073-1201","AQS","101","38","56.8","08/16/2008","08/16/2014"
"08/17/2018","57","El Cajon - Lexington Elementary School","06-073-1022","AQS","74","33","60.4","08/17/2002","08/17/2014"
"08/18/2018","66","Pala Airpad","06-073-1201","AQS","77","44","61","08/18/2009","08/18/2005"
"08/19/2018","66","Pala Airpad","06-073-1201","AQS","74","35","56.4","08/19/2009","08/19/2005"
"08/20/2018","74","Pala Airpad","06-073-1201","AQS","74","34","55.6","08/20/2018","08/20/2008"
"08/21/2018","84","Pala Airpad","06-073-1201","AQS","84","36","64.8","08/21/2018","08/21/2004"
"08/22/2018","89","Pala Airpad","06-073-1201","AQS","89","28","67.2","08/22/2018","08/22/2004"
"08/23/2018","72","Pala Airpad","06-073-1201","AQS","97","23","62","08/23/2013","08/23/2004"
"08/24/2018","93","Kearny Villa Rd.","06-073-1016","AQS","93","21","69.6","08/24/2018","08/24/2004"
"08/25/2018","110","Pala Airpad","06-073-1201","AQS","110","29","73.4","08/25/2018","08/25/2014"
"08/26/2018","142","Pala Airpad","06-073-1201","AQS","142","37","82","08/26/2018","08/26/2004"
"08/27/2018","91","Pala Airpad","06-073-1201","AQS","91","35","65.8","08/27/2018","08/27/2004"
"08/28/2018","83","Pala Airpad","06-073-1201","AQS","83","43","65","08/28/2018","08/28/2007"
"08/29/2018","75","Pala Airpad","06-073-1201","AQS","80","37","69.2","08/29/2017","08/29/2000"
"08/30/2018","58","Pala Airpad","06-073-1201","AQS","88","34","64.4","08/30/2017","08/30/2000"
